,ts,id,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8
96,2023-02-24T00:25:20.480000,7463831593,442.67,201.62,72.12,109.56,547.87,928.56,846.99,831.9
97,2023-02-24T00:25:20.485000,7463831594,442.37,202.01,72.23,109.47,547.96,928.99,847.01,832.08
98,2023-02-24T00:25:20.490000,7463831595,442.15,201.56,72.11,109.82,548.29,929.31,847,832.48
99,2023-02-24T00:25:20.495000,7463831596,442.24,201.84,72.3,109.6,548.15,928.85,847.51,831.68
100,2023-02-24T00:25:20.500000,7463831597,442.5,201.98,71.85,109.93,547.48,928.43,847.25,831.92
101,2023-02-24T00:25:20.505000,7463831598,442.81,201.76,72.66,109.44,547.55,929.31,847.48,831.86
102,2023-02-24T00:25:20.510000,7463831599,443.1,202.02,71.83,109.27,547.94,929.52,847.24,831.98
103,2023-02-24T00:25:20.515000,7463831600,441.86,201.77,72.81,109.58,547.68,928.94,847.88,832.28
104,2023-02-24T00:25:20.520000,7463831601,442.33,201.42,72.64,109.44,547.72,928.86,846.71,832.13
105,2023-02-24T00:25:20.525000,7463831602,442.92,202.12,71.95,109,547.92,928.68,847.11,832.11
106,2023-02-24T00:25:20.530000,7463831603,442.44,202.35,71.95,109.24,547.9,929.02,847.05,832.36
107,2023-02-24T00:25:20.535000,7463831604,442.29,201.89,72.33,109.53,547.79,929.24,847.12,831.81
108,2023-02-24T00:25:20.540000,7463831605,442.13,201.59,72.81,109.32,547.89,928.85,847.24,832.13
109,2023-02-24T00:25:20.545000,7463831606,442.55,201.32,72.36,108.81,548.35,928.41,846.5,832
110,2023-02-24T00:25:20.550000,7463831607,442.07,201.16,71.56,109.32,548.09,928.88,847.3,831.73
111,2023-02-24T00:25:20.555000,7463831608,442.32,201.11,72.31,109.25,547.14,928.55,847.5,832.01
112,2023-02-24T00:25:20.560000,7463831609,441.87,201.06,71.7,108.81,547.43,928.91,847.27,831.62
113,2023-02-24T00:25:20.565000,7463831610,442.52,201.86,72.3,108.97,547.9,929.36,847.74,831.86
114,2023-02-24T00:25:20.570000,7463831611,442.89,202.2,71.91,108.79,548.28,929.25,847.11,831.93
115,2023-02-24T00:25:20.575000,7463831612,442.52,201.9,72.17,109.61,548.06,929.49,847.56,831.43
116,2023-02-24T00:25:20.580000,7463831613,442.43,201.76,72.12,109.41,547.54,929.19,847.61,831.95
117,2023-02-24T00:25:20.585000,7463831614,442.45,201.63,72.06,108.73,547.46,928.94,847.17,831.44
118,2023-02-24T00:25:20.590000,7463831615,442.28,202.31,72.16,109.21,547.43,929.59,847.08,832.18
119,2023-02-24T00:25:20.595000,7463831616,441.85,201.61,71.87,108.99,547.57,928.89,846.27,831.56
120,2023-02-24T00:25:20.600000,7463831617,442.43,201.2,71.78,109.41,547.76,929.64,846.84,831.93
121,2023-02-24T00:25:20.605000,7463831618,442.02,201.73,72.16,108.37,547.29,928.91,846.92,831.54
122,2023-02-24T00:25:20.610000,7463831619,442.27,201.73,71.8,108.55,547.85,928.99,846.54,831.17
123,2023-02-24T00:25:20.615000,7463831620,442.78,201.66,72.2,108.89,547.49,928.93,847.27,831.88
124,2023-02-24T00:25:20.620000,7463831621,442.47,202.21,72.03,108.71,547.95,929.01,846.82,831.69
125,2023-02-24T00:25:20.625000,7463831622,442.26,201.53,72.08,109.37,547.88,929.36,847.61,832.26
126,2023-02-24T00:25:20.630000,7463831623,442.11,201.57,71.63,109.83,547.9,929.19,847.71,832.25
127,2023-02-24T00:25:20.635000,7463831624,442.54,202.02,72.39,109.01,547.64,929.56,847.28,832.29
128,2023-02-24T00:25:20.640000,7463831625,442.69,201.55,71.93,108.91,548.16,928.75,847.07,832.26
129,2023-02-24T00:25:20.645000,7463831626,441.75,201.58,72.53,109.22,547.6,928.95,847.02,832.32
130,2023-02-24T00:25:20.650000,7463831627,442.06,202.32,72.06,109.13,548.1,929.3,847.28,832.12
131,2023-02-24T00:25:20.655000,7463831628,442.85,202.08,72.1,108.81,547.75,928.75,847.23,832.51
132,2023-02-24T00:25:20.660000,7463831629,441.97,201.39,72.39,108.93,546.91,928.64,847.07,832.09
133,2023-02-24T00:25:20.665000,7463831630,442.64,201.89,72.4,109.04,547.13,929.24,847.4,831.82
134,2023-02-24T00:25:20.670000,7463831631,442.41,202.02,72.5,109,547.84,929.22,847.38,831.93
